,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","SD","Total Accidents","PDO","Injury","Fatal"
10,120,"SJ","R006.420",,,,,,,,"H"," n/a ","W"," fri ",9/25/1992,1505,926510215," oth. viol. ","clear","day","dry"," normal ","A"," sideswipe ",2," pickup ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other viol.  unk "," other ","A unk ",1,1,,
10,120,"SJ","R006.420",,,,,,,,"H"," n/a ","W"," fri ",9/25/1992,1505,926510215," oth. viol. ","clear","day","dry"," normal ","A"," sideswipe ",2," semi w/2 trailers ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","W"," sat ",10/3/1992,1300,926508175," speeding ","clear","day","dry"," other ","D"," rear-end ",2," pickup ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","W"," sat ",10/3/1992,1300,926508175," speeding ","clear","day","dry"," other ","D"," rear-end ",2," car ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R004.810",,,,,,,,"H"," n/a ","W"," sat ",10/3/1992,1300,926508175," speeding ","clear","day","dry"," other ","D"," rear-end ",2," animal "," unk "," n/a "," unk ",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk "," unk "," unk ",,,,
10,120,"SJ","R006.310",,,,,,,,"H"," n/a ","W"," sun ",10/18/1992,100,926511769," dui ","clear","dark","dry"," normal ","D"," hit object ",1," pickup ","W"," n/a "," unk ",0,0," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," imp. turn  unk "," off road ","B unk ",1,1,,
10,120,"SJ","R001.650",,,,,,,,"H"," n/a ","E"," wed ",10/21/1992,2200,926511351," imp. turn ","clear","dark w/lights","dry"," normal ","D"," sideswipe ",2," car ","E"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merging ","G unk ",1,1,,
10,120,"SJ","R001.650",,,,,,,,"H"," n/a ","E"," wed ",10/21/1992,2200,926511351," imp. turn ","clear","dark w/lights","dry"," normal ","D"," sideswipe ",2," car ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," merging ","A unk ",,,,
10,120,"SJ","R002.720",,,,,,,,"H"," n/a ","W"," thur ",10/29/1992,945,926509361," oth. viol. ","rain","day","wet"," normal ","A"," sideswipe ",2," semi w/2 trailers ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R002.720",,,,,,,,"H"," n/a ","W"," thur ",10/29/1992,945,926509361," oth. viol. ","rain","day","wet"," normal ","A"," sideswipe ",2," car ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",,,,
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," mon ",11/16/1992,1740,926511335," imp. turn ","clear","dark","dry"," normal ","D"," sideswipe ",2," pickup ","E"," n/a "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," lane change ","G unk ",1,1,,
10,120,"SJ","R001.500",,,,,,,,"H"," n/a ","E"," mon ",11/16/1992,1740,926511335," imp. turn ","clear","dark","dry"," normal ","D"," sideswipe ",2," car ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R000.500",,,,,,,,"H"," n/a ","E"," wed ",11/18/1992,1510,926508845," speeding ","cloudy","day","dry"," normal ","D"," rear-end ",2," car ","E"," n/a "," unk ",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","A unk ",1,1,,
10,120,"SJ","R000.500",,,,,,,,"H"," n/a ","E"," wed ",11/18/1992,1510,926508845," speeding ","cloudy","day","dry"," normal ","D"," rear-end ",2," pickup ","E"," n/a "," unk ",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R001.310",,,,,,,,"H"," n/a ","E"," fri ",11/20/1992,1640,926510999," speeding ","clear","dusk/dawn","dry"," normal ","D"," rear-end ",2," pickup ","E"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",1,1,,
10,120,"SJ","R001.310",,,,,,,,"H"," n/a ","E"," fri ",11/20/1992,1640,926510999," speeding ","clear","dusk/dawn","dry"," normal ","D"," rear-end ",2," car ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R003.280",,,,,,,,"H"," n/a ","W"," tue ",11/24/1992,1430,926511342," imp. turn ","cloudy","day","dry"," normal ","D"," rollover ",1," car w/trailer ","W"," n/a "," unk ",0,0," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R003.280",,,,,,,,"H"," n/a ","W"," tue ",11/24/1992,1430,926511342," imp. turn ","cloudy","day","dry"," normal ","D"," rollover ",1," lost tow ","W"," n/a "," unk ",0,0," n/a  n/a "," no obj involved.  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," unk "," off road "," unk ",,,,
10,120,"SJ","R001.950",,,,,,,,"H"," n/a ","W"," sat ",11/28/1992,545,926508175," speeding ","clear","dark","dry"," normal ","D"," hit object ",2," car ","W"," n/a "," unk ",0,0," median barrier  beyond shoulder driver's left ","V2 right lane "," n/a  n/a "," n/a  n/a "," inattention unk "," straight ","AI",1,1,,
10,120,"SJ","R001.950",,,,,,,,"H"," n/a ","W"," sat ",11/28/1992,545,926508175," speeding ","clear","dark","dry"," normal ","D"," hit object ",2," car ","W"," n/a "," unk ",0,0," n/a  n/a ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",,,,
10,120,"SJ","R003.030",,,,,,,,"H"," n/a ","W"," thur ",12/10/1992,1805,926510350," not driver ","cloudy","dark","wet"," normal ","D"," hit object ",1," car ","W"," n/a "," unk ",0,0," other obj. on rd  left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","R001.440",,,,,,,,"H"," n/a ","E"," tue ",12/22/1992,1740,926511335," speeding ","clear","dark","dry"," normal ","D"," sideswipe ",2," car ","E"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," other viol.  unk "," merging ","A unk ",1,1,,
10,120,"SJ","R001.440",,,,,,,,"H"," n/a ","E"," tue ",12/22/1992,1740,926511335," speeding ","clear","dark","dry"," normal ","D"," sideswipe ",2," semi w/1 trailer ","E"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a ","  stop & go  unk "," straight ","A unk ",,,,
10,120,"SJ","T006.600",,,,,,,,"H"," n/a ","W"," mon ",12/28/1992,1448,926512673," speeding ","rain","day","wet"," normal ","D"," rear-end ",2," semi ","W"," n/a "," unk ",0,0,"V2 right lane "," guardrail  beyond shoulder drivers right "," median barrier  beyond shoulder driver's left "," n/a  n/a "," none  unk "," straight ","A unk ",1,1,,
10,120,"SJ","T006.600",,,,,,,,"H"," n/a ","W"," mon ",12/28/1992,1448,926512673," speeding ","rain","day","wet"," normal ","D"," rear-end ",2," car ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","T006.610",,,,,,,,"H"," n/a ","W"," mon ",12/28/1992,1449,926512673," speeding ","rain","day","wet"," normal ","D"," rear-end ",2," pickup ","W"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," previous collision  unk "," straight ","A unk ",1,1,,
10,120,"SJ","T006.610",,,,,,,,"H"," n/a ","W"," mon ",12/28/1992,1449,926512673," speeding ","rain","day","wet"," normal ","D"," rear-end ",2," car ","W"," n/a "," unk ",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," previous collision  unk "," stopped ","A unk ",,,,
10,120,"SJ","R002.190",,,,,,,,"H"," n/a ","E"," tue ",12/29/1992,1532,926511335," speeding ","cloudy","day","wet"," normal ","D"," rear-end ",3," car ","E"," n/a "," unk ",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","G unk ",1,,1,
10,120,"SJ","R002.190",,,,,,,,"H"," n/a ","E"," tue ",12/29/1992,1532,926511335," speeding ","cloudy","day","wet"," normal ","D"," rear-end ",3," car ","E"," n/a "," unk ",0,1,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","A unk ",,,,
10,120,"SJ","R002.190",,,,,,,,"H"," n/a ","E"," tue ",12/29/1992,1532,926511335," speeding ","cloudy","day","wet"," normal ","D"," rear-end ",3," car ","E"," n/a "," unk ",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped ","A unk ",,,,
10,120,"SJ","R006.030","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","E","sat",1/2/1993,1115,926512483,"other viol.","clear","day","dry","normal","cont. works","sideswipe",2,"car","E","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," straight "," no alcohol  unk ",1,1,,
10,120,"SJ","R006.030","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","E","sat",1/2/1993,1115,926512483,"other viol.","clear","day","dry","normal","cont. works","sideswipe",2,"semi w/ 1 trailer","E","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R003.070","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","thu",1/7/1993,640,926508905,"other viol.","cloudy","dusk/dawn","wet","normal","no cont.","sideswipe",2,"car","W","on SR","unk",0,2,"V2 right lane "," median barrier  beyond shoulder driver's left "," dike or curb  beyond shoulder drivers right "," n/a  n/a "," speeding  unk ","change lanes "," no alcohol  unk ",1,,1,
10,120,"SJ","R003.070","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","thu",1/7/1993,640,926508905,"other viol.","cloudy","dusk/dawn","wet","normal","no cont.","sideswipe",2,"car","W","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R001.260","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","W","mon",1/11/1993,1315,926512483,"speed","clear","day","dry","normal","no cont.","hit obj.",4,"car","W","on SR","unk",0,0," other obj. on rd  left lane ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," unk  unk ",1,,1,
10,120,"SJ","R001.260","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","W","mon",1/11/1993,1315,926512483,"speed","clear","day","dry","normal","no cont.","hit obj.",4,"pickup","W","on SR","unk",0,1," n/a  n/a ","V1 left lane ","V3 left lane ","V4 left lane "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R001.260","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","W","mon",1/11/1993,1315,926512483,"speed","clear","day","dry","normal","no cont.","hit obj.",4,"car","W","on SR","unk",0,1," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R001.260","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","W","mon",1/11/1993,1315,926512483,"speed","clear","day","dry","normal","no cont.","hit obj.",4,"car","W","on SR","unk",0,1," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R003.570","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","tue",2/2/1993,845,926511055,"speed","fog","day","dry","normal","no cont.","rear end",3,"car","W","on SR","unk",0,1," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",1,,1,
10,120,"SJ","R003.570","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","tue",2/2/1993,845,926511055,"speed","fog","day","dry","normal","no cont.","rear end",3,"car","W","on SR","unk",0,1,"V3 left lane ","V1 left lane "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R003.570","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","tue",2/2/1993,845,926511055,"speed","fog","day","dry","normal","no cont.","rear end",3,"car","W","on SR","unk",0,1,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R005.710","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","thu",2/4/1993,930,926508193,"other viol.","fog","day","dry","normal","no cont.","sideswipe",2,"semi w/ 1 trailer","E","on SR","unk",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk ","change lanes "," unk  unk ",1,,1,
10,120,"SJ","R005.710","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","thu",2/4/1993,930,926508193,"other viol.","fog","day","dry","normal","no cont.","sideswipe",2,"car","E","on SR","unk",0,1,"V1 right lane "," median barrier  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R002.720","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","thu",2/18/1993,2030,926511335,"speed","cloudy","dark","wet","flooded","no cont.","rear end",2,"pickup","W","on SR","unk",0,3,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",1,,1,
10,120,"SJ","R002.720","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","thu",2/18/1993,2030,926511335,"speed","cloudy","dark","wet","flooded","no cont.","rear end",2,"car","W","on SR","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R006.480","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","fri",2/26/1993,1030,926508193,"other viol.","cloudy","day","wet","normal","no cont.","hit obj.",2,"car","W","on SR","unk",0,0," guardrail  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," straight "," unk  unk ",1,1,,
10,120,"SJ","R006.480","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","fri",2/26/1993,1030,926508193,"other viol.","cloudy","day","wet","normal","no cont.","hit obj.",2,"car","W","on SR","unk",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk ","other"," unk  unk ",,,,
10,120,"SJ","R006.180","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","wed",3/3/1993,1440,926505841,"speed","clear","day","dry","normal","no cont.","rear end",3,"pickup w/ trailer","E","on SR","unk",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped "," no alcohol  unk ",1,1,,
10,120,"SJ","R006.180","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","wed",3/3/1993,1440,926505841,"speed","clear","day","dry","normal","no cont.","rear end",3,"semi","E","on SR","unk",0,0,"V3 right lane ","V1 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped "," no alcohol  unk ",,,,
10,120,"SJ","R006.180","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","wed",3/3/1993,1440,926505841,"speed","clear","day","dry","normal","no cont.","rear end",3,"semi","E","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","T006.850","Div. Hwy","Fwy","Pav. Med","E",1,1,"RO","hwy","-","W","wed",3/3/1993,1715,926506188,"imp. turn","clear","day","dry","normal","cont. works","sideswipe",2,"semi w/ 1 trailer","W","on SR","unk",0,0,"V2 other "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk ","merging"," no alcohol  unk ",1,1,,
10,120,"SJ","T006.850","Div. Hwy","Fwy","Pav. Med","E",1,1,"RO","hwy","-","W","wed",3/3/1993,1715,926506188,"imp. turn","clear","day","dry","normal","cont. works","sideswipe",2,"semi","W","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R005.610","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","fri",4/2/1993,1625,926510215,"speed","clear","day","dry","normal","no cont.","rear end",5,"semi w/ 1 trailer","E","n/a","unk",0,1,"V2 right lane ","V3 right lane ","V4 right lane ","V5 right lane "," inattention  unk "," straight "," no alcohol  unk ",1,,1,
10,120,"SJ","R005.610","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","fri",4/2/1993,1625,926510215,"speed","clear","day","dry","normal","no cont.","rear end",5,"pickup","E","n/a","unk",0,1,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R005.610","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","fri",4/2/1993,1625,926510215,"speed","clear","day","dry","normal","no cont.","rear end",5,"semi","E","n/a","unk",0,1," n/a  n/a ","V2 right lane ","V1 right lane "," median barrier  beyond shoulder driver's left "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R005.610","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","fri",4/2/1993,1625,926510215,"speed","clear","day","dry","normal","no cont.","rear end",5,"pickup w/ trailer","E","n/a","unk",0,1," n/a  n/a ","V3 right lane ","V5 right lane ","V1 right lane "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R005.610","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","fri",4/2/1993,1625,926510215,"speed","clear","day","dry","normal","no cont.","rear end",5,"pickup","E","n/a","unk",0,1," n/a  n/a ","V4 right lane ","V1 right lane "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R003.300","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","thu",4/8/1993,1410,926505841,"speed","clear","day","dry","normal","no cont.","roll-over",1,"car","W","n/a","unk",0,0," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",1,1,,
10,120,"SJ","R002.000","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","sun",4/11/1993,920,926509361,"speed","clear","day","dry","normal","no cont.","rear end",3,"car","W","n/a","unk",0,3," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," none  unk "," stopped "," no alcohol  unk ",1,,1,
10,120,"SJ","R002.000","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","sun",4/11/1993,920,926509361,"speed","clear","day","dry","normal","no cont.","rear end",3,"pickup","W","n/a","unk",0,1,"V3 right lane ","V1 right lane "," rollover  right lane "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R002.000","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","W","sun",4/11/1993,920,926509361,"speed","clear","day","dry","normal","no cont.","rear end",3,"car","W","n/a","unk",0,3,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",,,,
10,120,"SJ","R002.890","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","sun",5/16/1993,1645,926510629,"imp. turn","clear","day","dry","normal","no cont.","sideswipe",2,"pickup","W","n/a","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",1,1,,
10,120,"SJ","R002.890","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","W","sun",5/16/1993,1645,926510629,"imp. turn","clear","day","dry","normal","no cont.","sideswipe",2,"semi","W","n/a","unk",0,0,"V1 right shoulder "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk ","parked"," unk  unk ",,,,
10,120,"SJ","R001.310","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","E","sat",5/29/1993,1015,926508193,"speed","clear","day","dry","normal","no cont.","hit obj.",2,"car","E","n/a","unk",0,0," bridge guardrail  beyond shoulder driver's left ","V2 left lane "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",1,1,,
10,120,"SJ","R001.310","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","E","sat",5/29/1993,1015,926508193,"speed","clear","day","dry","normal","no cont.","hit obj.",2,"pickup","E","n/a","unk",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," unk  unk ",,,,
10,120,"SJ","R005.380","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","mon",6/21/1993,1735,926506188,"speed","clear","day","dry","normal","no cont.","hit obj.",1,"car","E","n/a","unk",0,0," median barrier  beyond shoulder driver's left "," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road "," no alcohol  unk ",1,1,,
10,120,"SJ","R005.560","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","mon",6/21/1993,1810,926509910,"speed","clear","day","dry","normal","no cont.","rear end",2,"car","E","n/a","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," straight "," no alcohol  unk ",1,,1,
10,120,"SJ","R005.560","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UI","hwy","-","E","mon",6/21/1993,1810,926509910,"speed","clear","day","dry","normal","no cont.","rear end",2,"car","E","n/a","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R001.830","Div. Hwy","Fwy","Sep Struct.","G",2,2,"RO","hwy","-","E","thu",7/1/1993,1830,926505841,"speed","clear","day","dry","normal","no cont.","hit obj.",1,"car","E","n/a","unk",0,1," guardrail  beyond shoulder driver's left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," ran off road "," unk  unk ",1,,1,
10,120,"SJ","R001.190","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","E","sat",7/3/1993,1325,926511342,"imp. turn","clear","day","dry","normal","no cont.","sideswipe",2,"pickup","E","n/a","unk",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",1,,1,
10,120,"SJ","R001.190","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","E","sat",7/3/1993,1325,926511342,"imp. turn","clear","day","dry","normal","no cont.","sideswipe",2,"car","E","n/a","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speeding  unk ","other"," no alcohol  unk ",,,,
10,120,"SJ","R000.850","Div. Hwy","Fwy","Sep. Grds","Z",2,2,"RO","hwy","-","E","mon",7/5/1993,515,926508845,"imp. turn","clear","dusk/dawn","dry","normal","no cont.","hit obj.",1,"car","E","n/a","unk",0,7," dike or curb  beyond shoulder drivers right "," over embankment  beyond shoulder drivers right "," rollover  beyond shoulder drivers right "," n/a  n/a "," none  unk "," ran off road "," no alcohol  unk ",1,,1,
10,120,"SJ","R001.710","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","mon",7/19/1993,1710,926505841,"speed","clear","day","dry","normal","no cont.","hit obj.",1,"semi","E","n/a","unk",0,0," dike or curb  beyond shoulder drivers right "," guardrail  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," inattention  unk "," ran off road "," no alcohol  unk ",1,1,,
10,120,"SJ","R001.840","Div. Hwy","Fwy","Sep Struct.","G",2,2,"RO","hwy","-","W","mon",7/19/1993,1805,926510629,"speed","clear","day","dry","normal","no cont.","rear end",2,"car","W","n/a","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," no alcohol  unk ",1,,1,
10,120,"SJ","R001.840","Div. Hwy","Fwy","Sep Struct.","G",2,2,"RO","hwy","-","W","mon",7/19/1993,1805,926510629,"speed","clear","day","dry","normal","no cont.","rear end",2,"car","W","n/a","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R002.920","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"UO","hwy","-","E","fri",7/23/1993,1715,926505841,"speed","clear","day","dry","normal","no cont.","roll-over",1,"car","E","n/a","unk",0,0," rollover  beyond shoulder drivers right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," ran off road "," unk  unk ",1,1,,
10,120,"SJ","R001.600","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","sat",7/24/1993,955,926508845,"speed","clear","day","dry","normal","no cont.","rear end",3,"pickup w/ trailer","N","n/a","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight "," no alcohol  unk ",1,,1,
10,120,"SJ","R001.600","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","sat",7/24/1993,955,926508845,"speed","clear","day","dry","normal","no cont.","rear end",3,"car","E","n/a","unk",0,1,"V1 right lane ","V3 right lane "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk ","slowing, stopping"," no alcohol  unk ",,,,
10,120,"SJ","R001.600","Div. Hwy","Fwy","Unpaved Med.","Z",2,2,"RO","hwy","-","E","sat",7/24/1993,955,926508845,"speed","clear","day","dry","normal","no cont.","rear end",3,"car","E","n/a","unk",0,0," n/a  n/a ","V2 right lane "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk ","slowing, stopping"," no alcohol  unk ",,,,
