,,,"LOC",,,,,,,,,"I","S","D","ACCIDENT",,"COMMON","P","ENVIR",,,"R","R","T","NO","P","D","V","S","PERSN",,"O L","O L","O L","O L","OA","M","S D","Total Accidents","PDO","Injury","Fatal",,,,,,,,,,,
10,5,"SJ","R013.930","D","F","J","Z",5,5,"UI","H"," n/a ","S","wed",12/2/1998,1155,926610027," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"pickup","S","on SR","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.580","D","F","Q","G",3,4,"UI","H"," n/a ","N","sat",12/5/1998,2120,926513205," speeding ","cloudy","dark","wet","normal","none","hit obj.",1,"car","N","on SR","unk",0,0," side of bridge  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.500","D","F","Q","G",3,4,"UI","H"," n/a ","N","sat",12/5/1998,2121,926513205," speeding ","rain","dark","wet","normal","none","hit obj.",1,"semi w/1 trailer","N","on SR","unk",0,0," side of bridge  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R020.910","D","F","J","Z",3,3,"UO","H"," n/a ","N","sun",12/6/1998,1600,926509277," unk ","cloudy","day ","wet","normal","none","hit obj.",1,"car","N","on SR","unk",0,0," unk. obj. involved  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," imp. unk  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.120","D","F","J","Z",5,4,"UI","H"," n/a ","S","sun",12/6/1998,2230,926612590," other than driver ","cloudy","dark","dry","normal","none","hit obj.",2,"pickup","S","on SR","unk",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," oth. viol.  unk "," straight "," imp. unk  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.120","D","F","J","Z",5,4,"UI","H"," n/a ","S","sun",12/6/1998,2230,926612590," other than driver ","cloudy","dark","dry","normal","none","hit obj.",2,"semi w/1 trailer","S","on SR","unk",0,0," other obj. on rd.  right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.740","D","F","J","N",3,3,"UI","H"," n/a ","S","mon",12/7/1998,335,926514281," unk ","clear","dark","dry","normal","none","sideswipe",2,"semi w/1 trailer","S","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.740","D","F","J","N",3,3,"UI","H"," n/a ","S","mon",12/7/1998,335,926514281," unk ","clear","dark","dry","normal","none","sideswipe",2,"pickup w/trailer","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.840","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",12/21/1998,1105,926612718," speeding ","clear","day ","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," on/off ramp  unk "," slowing, stopping ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.840","D","F","J","Z",5,3,"RO","H"," n/a ","S","mon",12/21/1998,1105,926612718," speeding ","clear","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," on/off ramp  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.338","D","F","J","Z",4,4,"UI","R",2,"S","wed",12/23/1998,330,926612590," other than driver ","clear","dark","black ice","normal","none","hit obj.",1,"pickup","S","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," call box  beyond shoulder driver's right "," traffic sign/signpost  beyond shoulder drivers left "," rollover  beyond shoulder drivers left "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.338","D","F","J","Z",4,4,"UI","R",2,"S","wed",12/23/1998,352,926614109," other than driver ","fog","dark","snow/ice","normal","none","hit obj.",1,"car","S","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," over embankment  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.490","D","F","J","Z",5,5,"UI","H"," n/a ","S","mon",12/28/1998,1430,926613217," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"pickup","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," uninvolved veh.  unk "," lane change "," imp. unk  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.490","D","F","J","Z",5,5,"UI","H"," n/a ","S","mon",12/28/1998,1430,926613217," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"car","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.840","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",12/29/1998,700,926614764," other viol. ","fog","dusk/dawn","dry","normal","none","rearend",3,"car","W","on SR","unk",0,0,"V3 left lane ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.840","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",12/29/1998,700,926614764," other viol. ","fog","dusk/dawn","dry","normal","none","rearend",3,"car","W","on SR","unk",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," inattention  unk "," merge from shoulder ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.840","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",12/29/1998,700,926614764," other viol. ","fog","dusk/dawn","dry","normal","none","rearend",3,"pickup","W","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R020.280","D","F","J","Z",3,3,"UO","H"," n/a ","N","sun",1/3/1999,945,926509277," imp turn ","fog","day ","dry","normal","none","hit obj.",1,"car","N","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," traffic sign/signpost  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," n/a  n/a "," none  unk "," ran off road "," imp. unk  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.980","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",1/5/1999,1222,926610027," other viol. ","cloudy","day ","dry","normal","none","hit obj.",1,"pickup w/trailer","S","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.770","D","F","J","Z",5,5,"UI","H"," n/a ","S","wed",1/6/1999,630,926613444," speeding ","fog","dark","dry","normal","none","rearend",2,"car","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.770","D","F","J","Z",5,5,"UI","H"," n/a ","S","wed",1/6/1999,630,926613444," speeding ","fog","dark","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.120","D","F","J","Z",5,4,"UI","H"," n/a ","N","wed",1/6/1999,1824,926608693," other than driver ","clear","day ","dry","normal","none","hit obj.",1,"car","N","on SR","unk",0,0," other obj. on rd.  int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R016.450","D","F","J","N",3,3,"UI","H"," n/a ","N","fri",1/8/1999,1640,926513689," speeding ","clear","dark","dry","normal","none","rollover",1,"motorcycle","N","on SR","unk",0,0," rollover  left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.640","D","F","J","Z",3,3,"RO","H"," n/a ","S","mon",1/11/1999,1040,926613444," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"semi","S","on SR","unk",0,0,"V2 right shoulder area "," n/a  n/a "," n/a  n/a "," n/a  n/a "," oth. viol.  unk "," stopped ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.640","D","F","J","Z",3,3,"RO","H"," n/a ","S","mon",1/11/1999,1040,926613444," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"semi","S","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight "," imp. unk  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R016.709","D","F","K","Z",3,3,"UI","R",4,"S","mon",1/11/1999,1526,390004659," other viol. ","cloudy","day ","dry","normal","cont. works","sideswipe",2,"pickup","E","not on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R016.709","D","F","K","Z",3,3,"UI","R",4,"S","mon",1/11/1999,1526,390004659," other viol. ","cloudy","day ","dry","normal","cont. works","sideswipe",2,"car","E","not on SR","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.640","D","F","J","Z",3,3,"RO","H"," n/a ","S","tue",1/12/1999,640,926613444," speeding ","clear","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," lane change ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R012.640","D","F","J","Z",3,3,"RO","H"," n/a ","S","tue",1/12/1999,640,926613444," speeding ","clear","day ","dry","normal","none","rearend",2,"car","S","on SR","unk",0,1,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R019.180","D","F","K","Z",3,3,"UI","H"," n/a ","N","wed",1/13/1999,1545,926513205," speeding ","clear","day ","dry","normal","none","rearend",2,"car","N","on SR","unk",0,0,"V2 beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R019.180","D","F","K","Z",3,3,"UI","H"," n/a ","N","wed",1/13/1999,1545,926513205," speeding ","clear","day ","dry","normal","none","rearend",2,"pickup","N","on SR","unk",0,0,"V1 beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.620","D","F","J","N",3,3,"UI","H"," n/a ","S","fri",1/15/1999,2025,926513749," speeding ","rain","dark w/lights","wet","normal","none","hit obj.",1,"car","S","on SR","unk",0,0," median barrier  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R015.620","D","F","J","N",3,3,"UI","H"," n/a ","N","fri",1/15/1999,2045,926513749," speeding ","rain","dark w/lights","wet","normal","none","hit obj.",2,"car","N","on SR","unk",0,0," median barrier  beyond shoulder drivers left ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R015.620","D","F","J","N",3,3,"UI","H"," n/a ","N","fri",1/15/1999,2045,926513749," speeding ","rain","dark w/lights","wet","normal","none","hit obj.",2,"pickup","N","on SR","unk",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.790","D","F","J","N",3,3,"UI","H"," n/a ","S","fri",1/15/1999,2250,926513983," speeding ","cloudy","dark","wet","normal","none","hit obj.",1,"semi w/1 trailer","S","on SR"," haz mat. ",0,1," median barrier  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","fri",1/15/1999,2355,926513881," speeding ","rain","dark","wet","normal","none","hit obj.",2,"car","N","on SR","unk",0,0," side of bridge  beyond shoulder drivers left ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","fri",1/15/1999,2355,926513881," speeding ","rain","dark","wet","normal","none","hit obj.",2,"car","N","on SR","unk",0,0," n/a  n/a ","V1 left lane "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",1/18/1999,1040,926509277," imp turn ","rain","day ","wet","obs. on rd","none","hit obj.",3,"car","N","on SR","unk",0,0," wall  beyond shoulder drivers left ","V2 left lane "," n/a  n/a "," n/a  n/a "," none  unk ","unk","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",1/18/1999,1040,926509277," imp turn ","rain","day ","wet","obs. on rd","none","hit obj.",3,"car","N","on SR","unk",0,0," n/a  n/a ","V1 left lane ","V3 left lane "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",1/18/1999,1040,926509277," imp turn ","rain","day ","wet","obs. on rd","none","hit obj.",3,"pickup","N","on SR","unk",0,0," n/a  n/a ","V2 left lane "," n/a  n/a "," n/a  n/a "," speed  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.600","D","F","Q","G",3,3,"UI","H"," n/a ","N","mon",1/18/1999,1041,926509277," speeding ","rain","day ","wet","normal","none","rearend",3,"car","N","on SR","unk",0,0,"V3 left lane ","V2 left lane "," n/a  n/a "," n/a  n/a "," previous collision  unk "," stopped ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.600","D","F","Q","G",3,3,"UI","H"," n/a ","N","mon",1/18/1999,1041,926509277," speeding ","rain","day ","wet","normal","none","rearend",3,"pickup","N","on SR","unk",0,0," n/a  n/a ","V1 left shoulder area "," n/a  n/a "," n/a  n/a "," previous collision  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.600","D","F","Q","G",3,3,"UI","H"," n/a ","N","mon",1/18/1999,1041,926509277," speeding ","rain","day ","wet","normal","none","rearend",3,"car","N","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," previous collision  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.960","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",1/19/1999,1000,926609104," other viol. ","cloudy","day ","dry","normal","none","hit obj.",2,"car","S","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R012.960","D","F","J","Z",5,3,"RO","H"," n/a ","S","tue",1/19/1999,1000,926609104," other viol. ","cloudy","day ","dry","normal","none","hit obj.",2,"semi","S","on SR","unk",0,0," n/a  n/a "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change "," imp. unk  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.760","D","F","J","N",3,3,"UI","H"," n/a ","N","tue",1/19/1999,2247,926513983," speeding ","rain","dark","wet","normal","none","t-bone",2,"car","N","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.760","D","F","J","N",3,3,"UI","H"," n/a ","N","tue",1/19/1999,2247,926513983," speeding ","rain","dark","wet","normal","none","t-bone",2,"semi w/1 trailer","N","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R016.960","D","F","K","Z",3,3,"UI","H"," n/a ","S","thu",1/21/1999,35,926513881," imp turn ","rain","dark","wet","normal","none","hit obj.",1,"other veh.","S","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," over embankment  beyond shoulder driver's right "," trees  beyond shoulder driver's right "," n/a  n/a "," none  unk "," other ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.990","D","F","J","N",3,3,"UI","H"," n/a ","S","mon",1/25/1999,1350,926513205," other viol. ","cloudy","day ","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," backing ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.990","D","F","J","N",3,3,"UI","H"," n/a ","S","mon",1/25/1999,1350,926513205," other viol. ","cloudy","day ","dry","normal","none","rearend",2,"pickup","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.880","D","F","J","G",3,3,"UI","H"," n/a ","S","tue",1/26/1999,915,926513881," other viol. ","rain","day ","wet","normal","none","hit obj.",1,"semi w/1 trailer","S","on SR","unk",0,0," side of bridge  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," def. veh.  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R020.850","D","F","J","Z",3,3,"UO","H"," n/a ","N","wed",1/27/1999,1715,926513671," imp turn ","clear","day ","dry","normal","none","hit obj.",1,"car","N","on SR","unk",0,0," guardrail  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," other ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.370","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/28/1999,600,926613217," speeding ","fog","dark","wet","normal","none","rearend",4,"car","S","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.370","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/28/1999,600,926613217," speeding ","fog","dark","wet","normal","none","rearend",4,"car","S","on SR","unk",0,1,"V1 int. lanes ","V3 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," slowing, stopping ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.370","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/28/1999,600,926613217," speeding ","fog","dark","wet","normal","none","rearend",4,"car","S","on SR","unk",0,0," n/a  n/a ","V2 int. lanes ","V4 int. lanes "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R013.370","D","F","J","Z",5,5,"UI","H"," n/a ","S","thu",1/28/1999,600,926613217," speeding ","fog","dark","wet","normal","none","rearend",4,"car","S","on SR","unk",0,0," n/a  n/a ","V3 int. lanes "," n/a  n/a "," n/a  n/a "," stop & go traffic  unk "," stopped ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.820","D","F","J","Z",4,3,"RO","H"," n/a ","S","thu",1/28/1999,650,926613217," speeding ","fog","dark","wet","normal","none","rearend",2,"pickup","S","on SR","unk",0,1,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R012.820","D","F","J","Z",4,3,"RO","H"," n/a ","S","thu",1/28/1999,650,926613217," speeding ","fog","dark","wet","normal","none","rearend",2,"semi w/1 trailer","S","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," slowing, stopping "," imp. unk  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R017.710","D","F","K","Z",3,3,"UI","H"," n/a ","S","sat",1/30/1999,115,926513193," dui ","clear","dark","dry","normal","none","hit obj.",1,"car","S","on SR","unk",0,1," dike or curb  beyond shoulder driver's right "," over embankment  beyond shoulder driver's right "," fence  beyond shoulder driver's right "," n/a  n/a "," imp. turn  unk "," other "," unk  drugs ",1,,1,,,,,,,,,,,,
10,5,"SJ","R014.520","D","F","Q","G",3,4,"UI","H"," n/a ","S","sun",1/31/1999,615,926609104," speeding ","rain","dark","wet","other","none","rearend",2,"car","S","on SR","unk",0,0,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.520","D","F","Q","G",3,4,"UI","H"," n/a ","S","sun",1/31/1999,615,926609104," speeding ","rain","dark","wet","other","none","rearend",2,"pickup","S","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R018.560","D","F","K","Z",3,3,"UI","H"," n/a ","N","wed",2/3/1999,1005,926509277," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"car","N","on SR","unk",0,1,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R018.560","D","F","K","Z",3,3,"UI","H"," n/a ","N","wed",2/3/1999,1005,926509277," other viol. ","clear","day ","dry","normal","none","sideswipe",2,"semi w/1 trailer","N","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.520","D","F","Q","G",3,4,"UI","H"," n/a ","N","sun",2/7/1999,945,926508175," speeding ","cloudy","day ","wet","flooded","none","hit obj.",1,"car","N","on SR","unk",0,0," guardrail  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.010","D","F","J","Z",5,4,"UI","H"," n/a ","S","sun",2/7/1999,1015,926614764," speeding ","rain","day ","wet","normal","none","hit obj.",1,"car","S","on SR","unk",0,1," over embankment  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," fence  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," imp. turn  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R014.560","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",2/8/1999,1500,926513205," speeding ","cloudy","day ","wet","normal","none","hit obj.",2,"pickup","N","on SR","unk",0,0," bridge approach guardrail  beyond shoulder drivers left ","V2 int. lanes "," side of bridge  beyond shoulder drivers left "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R014.560","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",2/8/1999,1500,926513205," speeding ","cloudy","day ","wet","normal","none","hit obj.",2,"car","N","on SR","unk",0,0," n/a  n/a ","V1 int. lanes "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.570","D","F","Q","G",3,4,"UI","H"," n/a ","N","mon",2/8/1999,1510,926513205," speeding ","rain","day ","wet","normal","none","hit obj.",1,"car","N","on SR","unk",0,1," side of bridge  beyond shoulder drivers left "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R013.090","D","F","J","Z",5,3,"UI","H"," n/a ","N","mon",2/8/1999,1515,926612590," other viol. ","cloudy","day ","wet","normal","none","sideswipe",2,"car","N","on SR","unk",0,0,"V2 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R013.090","D","F","J","Z",5,3,"UI","H"," n/a ","N","mon",2/8/1999,1515,926612590," other viol. ","cloudy","day ","wet","normal","none","sideswipe",2,"other veh.","N","on SR","unk",0,0,"V1 int. lanes "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," lane change "," imp. unk  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R014.460","D","F","J","Z",4,4,"UI","H"," n/a ","N","mon",2/8/1999,1535,926612590," speeding ","rain","day ","wet","flooded","none","rearend",2,"car","N","on SR","unk",0,1,"V2 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," tailgating  unk "," straight ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R014.460","D","F","J","Z",4,4,"UI","H"," n/a ","N","mon",2/8/1999,1535,926612590," speeding ","rain","day ","wet","flooded","none","rearend",2,"car","N","on SR","unk",0,0,"V1 left lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R012.650","D","F","J","Z",3,3,"RO","H"," n/a ","S","tue",2/9/1999,640,926613444," other viol. ","rain","day ","wet","normal","none","hit obj.",1,"pickup","S","on SR","unk",0,2," dike or curb  beyond shoulder driver's right "," rollover  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," none  unk "," ran off road ","no drinking  unk ",1,,1,,,,,,,,,,,,
10,5,"SJ","R019.910","D","F","J","Z",3,3,"UO","H"," n/a ","N","tue",2/9/1999,1320,926508635," imp turn ","clear","day ","dry","normal","none","rearend",2,"car","N","on SR","unk",0,0,"V2 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," inattention  unk "," lane change ","no drinking  unk ",1,1,,,,,,,,,,,,,
10,5,"SJ","R019.910","D","F","J","Z",3,3,"UO","H"," n/a ","N","tue",2/9/1999,1320,926508635," imp turn ","clear","day ","dry","normal","none","rearend",2,"pickup","N","on SR","unk",0,0,"V1 right lane "," n/a  n/a "," n/a  n/a "," n/a  n/a "," none  unk "," straight ","no drinking  unk ",,,,,,,,,,,,,,,
10,5,"SJ","R016.360","D","F","J","N",3,3,"UI","H"," n/a ","N","wed",2/10/1999,50,926514290," imp turn ","clear","dark w/lights","dry","unk","unk","hit obj.",1,"car","N","on SR","unk",0,0," dike or curb  beyond shoulder driver's right "," n/a  n/a "," n/a  n/a "," n/a  n/a "," unk  unk "," other ","no drinking  unk ",1,1,,,,,,,,,,,,,
